"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 21, 2020","935.39","929.07","935.39","926.08","34.69K","0.68%"
"Jan 20, 2020","929.07","932.37","934.06","927.92","32.21K","-0.36%"
"Jan 17, 2020","932.44","934.75","937.33","932.35","34.43K","-0.25%"
"Jan 16, 2020","934.75","933.09","935.27","931.96","39.43K","0.18%"
"Jan 15, 2020","933.09","928.05","933.29","928.03","36.83K","0.46%"
"Jan 14, 2020","928.83","920.11","928.84","919.05","40.09K","0.94%"
"Jan 13, 2020","920.15","922.47","924.12","918.75","39.20K","-0.25%"
"Jan 10, 2020","922.47","920.89","922.73","918.70","41.22K","0.18%"
"Jan 09, 2020","920.83","913.99","921.50","913.96","43.57K","0.75%"
"Jan 08, 2020","913.99","928.52","928.52","910.62","61.45K","-1.59%"
"Jan 07, 2020","928.73","928.85","931.15","925.84","38.60K","-0.01%"
"Jan 06, 2020","928.85","930.39","930.42","924.04","50.69K","-0.16%"
"Jan 03, 2020","930.37","931.18","936.83","927.63","47.33K","-0.09%"
"Jan 02, 2020","931.18","928.87","931.71","926.23","39.45K","0.25%"
"Dec 31, 2019","928.87","929.30","929.30","924.29","41.46K","-0.07%"
"Dec 30, 2019","929.53","929.61","932.21","925.98","48.42K","-0.01%"
"Dec 27, 2019","929.61","927.69","929.61","923.81","42.10K","0.18%"
"Dec 26, 2019","927.94","928.13","931.20","925.73","50.94K","-0.02%"
"Dec 25, 2019","928.13","924.12","928.31","922.84","51.13K","0.43%"
"Dec 24, 2019","924.12","923.89","925.22","919.85","45.85K","0.03%"
"Dec 23, 2019","923.81","925.13","926.99","921.91","48.89K","0.13%"
"Dec 20, 2019","922.58","924.73","927.71","921.92","46.64K","-0.24%"
"Dec 19, 2019","924.84","929.28","930.71","923.17","36.94K","-0.50%"
"Dec 18, 2019","929.53","936.36","936.36","927.45","40.98K","-0.73%"
"Dec 17, 2019","936.36","942.81","944.23","932.60","74.77K","-0.68%"
