"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2018","902.20","893.13","902.20","893.13","26.92K","1.40%"
"Feb 12, 2018","889.78","872.71","889.78","872.71","21.42K","2.07%"
"Feb 09, 2018","871.73","865.12","871.73","854.84","33.96K","-0.60%"
"Feb 08, 2018","876.95","881.68","884.85","874.42","25.32K","-0.46%"
"Feb 07, 2018","881.01","875.07","884.69","875.02","40.80K","2.30%"
"Feb 06, 2018","861.18","876.08","876.08","843.49","43.39K","-3.52%"
"Feb 05, 2018","892.61","922.91","922.91","892.38","33.39K","-3.32%"
"Feb 02, 2018","923.29","925.83","928.16","919.79","27.67K","-0.32%"
"Feb 01, 2018","926.29","938.83","939.33","925.50","37.94K","-1.24%"
"Jan 31, 2018","937.96","943.94","949.02","937.96","49.01K","-0.63%"
"Jan 30, 2018","943.87","934.85","943.87","929.61","40.50K","0.81%"
"Jan 29, 2018","936.31","945.79","951.47","936.31","37.19K","-0.89%"
"Jan 26, 2018","944.68","943.83","949.02","942.08","35.26K","0.12%"
"Jan 25, 2018","943.57","946.76","950.40","938.81","66.91K","-0.11%"
"Jan 23, 2018","944.57","951.98","952.27","943.05","33.65K","0.00%"
"Jan 22, 2018","944.57","951.98","952.27","943.05","33.65K","-0.31%"
"Jan 19, 2018","947.50","944.37","948.71","944.37","47.04K","0.34%"
"Jan 18, 2018","944.29","943.46","944.61","932.55","37.98K","0.02%"
"Jan 17, 2018","944.13","955.21","955.72","944.13","54.42K","-1.12%"
"Jan 16, 2018","954.82","954.85","958.06","948.41","42.82K","-0.17%"
"Jan 15, 2018","956.49","950.77","956.54","949.25","35.87K","0.51%"
"Jan 12, 2018","951.67","953.28","959.16","949.79","41.54K","0.21%"
"Jan 11, 2018","949.71","940.13","949.71","938.41","38.80K","1.08%"
"Jan 10, 2018","939.52","937.39","943.67","935.83","46.91K","0.48%"
"Jan 09, 2018","935.00","932.17","935.80","929.05","38.22K","0.40%"
"Jan 08, 2018","931.27","927.19","931.34","926.79","27.91K","0.60%"
"Jan 05, 2018","925.68","928.33","931.02","925.68","28.00K","-0.36%"
"Jan 04, 2018","929.02","924.11","931.10","924.00","29.16K","0.66%"
"Jan 03, 2018","922.89","928.16","929.42","922.25","27.99K","-0.42%"
"Jan 02, 2018","926.80","921.78","926.80","921.78","20.31K","0.90%"
"Dec 29, 2017","918.57","918.80","920.51","916.85","22.57K","0.15%"
"Dec 28, 2017","917.16","917.27","918.27","912.86","18.35K","0.24%"
"Dec 27, 2017","914.97","914.87","918.69","913.26","33.73K","0.44%"
"Dec 26, 2017","910.98","909.61","912.18","906.23","22.79K","0.15%"
"Dec 25, 2017","909.59","909.61","911.92","906.49","22.15K","0.01%"
"Dec 22, 2017","909.53","911.14","912.85","908.22","28.64K","-0.26%"
"Dec 21, 2017","911.92","914.81","916.43","910.90","20.57K","-0.30%"
"Dec 20, 2017","914.67","915.27","918.77","913.05","32.31K","-0.05%"
"Dec 19, 2017","915.12","923.08","923.53","911.02","43.64K","-0.35%"
"Dec 18, 2017","918.35","915.47","919.92","915.47","27.12K","0.48%"
"Dec 15, 2017","913.96","914.62","916.32","909.67","27.06K","0.34%"
"Dec 14, 2017","910.83","896.27","910.83","896.06","38.50K","1.61%"
"Dec 13, 2017","896.40","897.72","901.16","894.98","22.22K","-0.00%"
"Dec 12, 2017","896.44","902.55","908.14","883.76","30.91K","-0.90%"
"Dec 11, 2017","904.59","914.77","914.77","904.59","21.00K","-1.33%"
"Dec 08, 2017","916.80","916.80","920.75","914.62","23.29K","0.01%"
"Dec 07, 2017","916.71","912.98","917.76","910.83","25.99K","0.57%"
"Dec 06, 2017","911.54","913.12","917.90","906.75","31.67K","-0.41%"
"Dec 05, 2017","915.33","924.64","925.46","915.33","30.39K","-0.75%"
"Dec 04, 2017","922.28","921.12","923.77","919.64","35.75K","0.51%"
"Dec 01, 2017","917.62","912.40","918.34","912.23","31.11K","0.57%"
"Nov 30, 2017","912.40","908.54","914.74","908.54","36.16K","0.54%"
"Nov 29, 2017","907.51","907.70","911.46","906.23","38.12K","0.15%"
"Nov 28, 2017","906.18","913.57","915.19","905.53","35.12K","-0.30%"
"Nov 27, 2017","908.92","902.23","910.65","902.23","36.58K","1.32%"
"Nov 24, 2017","897.12","885.52","897.12","884.32","26.87K","1.32%"
"Nov 23, 2017","885.40","880.65","885.40","880.47","27.51K","0.56%"
"Nov 22, 2017","880.45","881.06","882.33","877.39","21.58K","0.04%"
"Nov 21, 2017","880.09","880.98","884.35","878.05","23.90K","-0.37%"
"Nov 20, 2017","883.39","882.79","886.56","879.47","19.50K","0.06%"
"Nov 17, 2017","882.89","887.22","890.17","879.72","25.05K","-0.31%"
"Nov 16, 2017","885.61","880.87","885.61","880.27","23.82K","0.69%"
"Nov 15, 2017","879.52","879.06","881.30","876.72","18.52K","0.04%"
"Nov 14, 2017","879.19","880.70","882.42","875.38","25.36K","-0.26%"
"Nov 13, 2017","881.44","884.52","887.23","878.36","24.59K","-0.40%"
"Nov 10, 2017","885.00","880.47","885.00","879.45","25.00K","0.44%"
"Nov 09, 2017","881.14","881.78","884.82","877.63","24.37K","0.03%"
"Nov 08, 2017","880.85","878.91","882.79","876.44","21.22K","0.29%"
"Nov 07, 2017","878.28","878.67","882.25","877.10","29.90K","0.26%"
"Nov 06, 2017","876.03","867.22","876.50","867.22","21.69K","1.15%"
"Nov 03, 2017","866.09","858.95","866.09","854.41","27.29K","0.64%"
"Nov 02, 2017","860.57","871.76","876.38","859.14","36.28K","-1.41%"
"Nov 01, 2017","872.91","879.56","883.49","872.91","25.48K","-1.17%"
"Oct 31, 2017","883.21","890.46","891.39","881.95","23.50K","-1.24%"
"Oct 30, 2017","894.29","901.51","905.76","891.83","25.60K","-0.63%"
"Oct 27, 2017","899.99","898.40","902.99","894.92","22.61K","0.26%"
"Oct 26, 2017","897.69","904.74","906.22","889.79","28.21K","-0.75%"
"Oct 25, 2017","904.46","906.98","909.58","901.39","26.49K","-0.16%"
"Oct 24, 2017","905.94","902.83","905.94","898.80","29.52K","0.22%"
"Oct 23, 2017","903.95","913.90","914.69","901.76","34.94K","-1.21%"
"Oct 20, 2017","914.99","921.92","922.83","912.82","34.65K","-0.55%"
"Oct 19, 2017","920.06","915.45","922.95","915.29","36.74K","0.51%"
"Oct 18, 2017","915.39","923.33","925.57","915.19","37.34K","-0.86%"
